bench,seq_len,head_dim,fused_ms,baseline_ms,speedup,tokens_per_s,baseline_tokens_per_s,l2_diff,perplexity_delta
rope_fht_kv,32,128,0.093956,0.149085,1.58675,340585,214643,0.245065,0
prefill_baseline,32,128,0.149085,0.149085,1,214643,214643,0.245065,0
rope_fht_kv,64,128,0.151918,0.271085,1.78442,421280,236088,0.346711,0
prefill_baseline,64,128,0.271085,0.271085,1,236088,236088,0.346711,0
rope_fht_kv,128,128,0.289099,0.55908,1.93387,442755,228948,0.482932,0
prefill_baseline,128,128,0.55908,0.55908,1,228948,228948,0.482932,0
rope_fht_kv,32,128,0.094114,0.172841,1.83651,340013,185141,0.245065,0
prefill_baseline,32,128,0.172841,0.172841,1,185141,185141,0.245065,0
rope_fht_kv,64,128,0.146601,0.338576,2.30951,436559,189027,0.346711,0
prefill_baseline,64,128,0.338576,0.338576,1,189027,189027,0.346711,0
rope_fht_kv,128,128,0.280754,0.700883,2.49643,455915,182627,0.482932,0
prefill_baseline,128,128,0.700883,0.700883,1,182627,182627,0.482932,0
